epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3447.09,0.54393,0.4673,0.92931,0.86597,0.97489,0.96198,0.88289,0.41471,0.36162,0.87434,0.0002773,0.0002773,0.0002773
75,3492.86,0.54306,0.46307,0.9271,0.87935,0.94996,0.95261,0.86905,0.42021,0.34619,0.87612,0.0002674,0.0002674,0.0002674
76,3540.72,0.54811,0.45924,0.93178,0.88463,0.94137,0.95035,0.87114,0.4249,0.33335,0.87887,0.0002575,0.0002575,0.0002575
77,3587.16,0.53492,0.45993,0.92954,0.87825,0.9403,0.95024,0.87471,0.40157,0.33373,0.8728,0.0002476,0.0002476,0.0002476
78,3634.08,0.53983,0.45747,0.92933,0.87491,0.9579,0.95545,0.88559,0.42254,0.35143,0.87569,0.0002377,0.0002377,0.0002377
79,3679.81,0.53693,0.45587,0.92687,0.8718,0.95846,0.95824,0.87793,0.42739,0.34504,0.87378,0.0002278,0.0002278,0.0002278
80,3727.92,0.52059,0.44529,0.91431,0.90578,0.93265,0.9639,0.89098,0.38913,0.32733,0.86361,0.0002179,0.0002179,0.0002179
81,3774.98,0.50535,0.4435,0.91813,0.9052,0.92435,0.9543,0.89013,0.38177,0.35571,0.8625,0.000208,0.000208,0.000208
82,3821.97,0.51315,0.43753,0.9166,0.88112,0.94468,0.94772,0.88013,0.39923,0.35019,0.86541,0.0001981,0.0001981,0.0001981
83,3869.56,0.51215,0.44049,0.91777,0.89428,0.91404,0.94775,0.87326,0.41166,0.33045,0.86576,0.0001882,0.0001882,0.0001882
84,3915.9,0.49067,0.42687,0.90604,0.88102,0.9513,0.95529,0.89074,0.40317,0.31522,0.86821,0.0001783,0.0001783,0.0001783
85,3963.17,0.4996,0.42173,0.91167,0.86333,0.96412,0.95646,0.88547,0.39501,0.37489,0.8606,0.0001684,0.0001684,0.0001684
86,4009.05,0.50696,0.43753,0.92022,0.87291,0.96648,0.96015,0.89397,0.39652,0.32196,0.86468,0.0001585,0.0001585,0.0001585
87,4056.71,0.4963,0.42291,0.91757,0.87372,0.9407,0.94633,0.88099,0.40279,0.3381,0.86804,0.0001486,0.0001486,0.0001486
88,4103.4,0.48114,0.41947,0.90313,0.87179,0.96198,0.95739,0.88708,0.3975,0.32123,0.86596,0.0001387,0.0001387,0.0001387
89,4150.32,0.47791,0.41087,0.90393,0.88033,0.94777,0.95324,0.88402,0.38502,0.34287,0.85758,0.0001288,0.0001288,0.0001288
90,4197.8,0.49781,0.4298,0.91142,0.90956,0.93686,0.9616,0.90046,0.37305,0.31346,0.85668,0.0001189,0.0001189,0.0001189
91,4247.13,0.42418,0.34508,0.88936,0.87703,0.95031,0.94577,0.89046,0.37203,0.34738,0.85819,0.000109,0.000109,0.000109
92,4293.24,0.41533,0.34538,0.87432,0.86452,0.95365,0.95074,0.89264,0.38355,0.33979,0.86125,9.91e-05,9.91e-05,9.91e-05
93,4338.08,0.4023,0.337,0.87164,0.87665,0.95138,0.96095,0.90377,0.36649,0.30574,0.85193,8.92e-05,8.92e-05,8.92e-05
94,4383.94,0.39696,0.32294,0.88024,0.87411,0.96921,0.95944,0.90156,0.35486,0.30869,0.85467,7.93e-05,7.93e-05,7.93e-05
95,4428.83,0.39008,0.32971,0.87906,0.87065,0.97485,0.9638,0.90715,0.36376,0.30665,0.85679,6.94e-05,6.94e-05,6.94e-05
96,4474.71,0.38414,0.32171,0.87357,0.87508,0.97129,0.96051,0.90715,0.35003,0.30178,0.84658,5.95e-05,5.95e-05,5.95e-05
97,4520.4,0.3932,0.32521,0.87199,0.8684,0.9769,0.9646,0.90809,0.35879,0.29702,0.84918,4.96e-05,4.96e-05,4.96e-05
98,4565.54,0.37505,0.30727,0.85896,0.8731,0.97129,0.96279,0.90904,0.34701,0.29136,0.84801,3.97e-05,3.97e-05,3.97e-05
99,4611.33,0.37934,0.30917,0.86175,0.87899,0.97146,0.96345,0.91105,0.35052,0.28916,0.84756,2.98e-05,2.98e-05,2.98e-05
100,4656.11,0.37181,0.30967,0.86716,0.87263,0.97943,0.96652,0.91419,0.34268,0.29012,0.84509,1.99e-05,1.99e-05,1.99e-05
